media,time,title
연합뉴스, 2012.08.09. ,"환율 1.5원 오른 1,129.8원(개장)"
연합뉴스, 2012.08.19. ,전방위 물가대란 오나…서민가계 '비상'
연합뉴스, 2012.08.09. ,"기재부 ""주요 경제지표 앱 확 바꿨어요"""
연합뉴스, 2012.08.08. ,"IBK기업은행, `IBK스마트터치'서비스 실시"
연합뉴스, 2012.08.07. ,<유럽증시> 위기해소 조치 기대에 상승마감
연합뉴스, 2012.08.06. ,이란 추가 평가절하 기대로 리알화 가치 급락
연합뉴스, 2012.11.27. ,"환율 1.4원 내린 1,084.1원"
연합뉴스, 2012.11.27. ,"日 민주 총선 공약에 ""한국이 독도 불법점거"""
연합뉴스, 2012.11.28. ,"한국, 우주개발에 얼마나 투자?"
연합뉴스, 2012.08.09. ,"코스피 外人 공격적 매수에 1,940선 회복"
연합뉴스, 2012.08.09. ,웅진에너지 2분기 영업손실 193억
연합뉴스, 2012.11.28. ,내린 코스피 오른 환율
연합뉴스, 2012.11.29. ,대구·경북 제조업 12월 업황 전망 나빠
연합뉴스, 2012.11.29. ,"중국 증시, 나흘 연속 하락 행진"
연합뉴스, 2012.08.10. ,中 무역수지 악화에 원·달러 환율 상승(종합)
연합뉴스, 2012.08.10. ,"환율 4.9원 오른 1,130.4원(마감)"
연합뉴스, 2012.08.13. ,"환율 횡보…1,130원대 초반(종합)"
연합뉴스, 2012.08.13. ,환율 0.7원 오른 1131.1원(마감)
연합뉴스, 2012.10.02. ,"광주은행, 'KJB 두루모아 외화적금' 출시"
연합뉴스, 2012.11.28. ,내린 코스피 오른 환율
연합뉴스, 2012.08.22. ,국내 증시 등락에 환율도 혼조세(종합)
연합뉴스, 2012.07.24. ,"스페인 10년물 국채, 유로화 출범 이후 최고치"
연합뉴스, 2012.08.23. ,"<PRNewswire>Infosys, 인도 아동설사사망 종식 위해 노력"
연합뉴스, 2012.08.23. ,"코스피 횡보 지속…1,930대 초반"
연합뉴스, 2012.08.14. ,아시아나 2분기 영업익 반토막(종합)
연합뉴스, 2012.08.14. ,한세실업 2분기 영업이익 160억원...83.6%↑
연합뉴스, 2012.11.01. ,"코스피 1,880선 후퇴… 外人ㆍ기관 '팔자'"
연합뉴스, 2012.11.01. ,"쌍용차, 3분기 매출 6천965억…6.8%↓(종합)"
연합뉴스, 2012.08.17. ,"환율 0.3원 오른 1,134.3원(마감)"
연합뉴스, 2012.08.08. ,"환율 0.2원 오른 1,129.0원(개장)"
연합뉴스, 2012.08.08. ,<긴급피임약 사용량 크게 늘었다>(종합)
연합뉴스, 2012.08.16. ,미국 지표 호조로 원ㆍ달러 상승 출발(종합)
연합뉴스, 2012.08.16. ,"환율 3.4원 오른 1,133원(개장)"
연합뉴스, 2012.08.17. ,"환율 보합세…0.3원 오른 1,134.3원(종합)"
연합뉴스, 2012.08.08. ,"환율 1,120원대 후반서 횡보(종합)"
연합뉴스, 2012.08.08. ,"코스피 1,900 돌파…외국인 7천억원 순매수(종합)"
연합뉴스, 2012.08.09. ,한은 금리동결·코스피 상승에 환율 하락(종합)
연합뉴스, 2012.08.09. ,"원·달러 환율 2.8원 내린 1,125.5원(마감)"
연합뉴스, 2012.11.28. ,내린 코스피 오른 환율
연합뉴스, 2012.11.29. ,美 재정절벽 우려 완화에 환율 하락(종합)
연합뉴스, 2012.08.06. ,예비전력 안정…전력경보 `준비'로 낮춰
연합뉴스, 2012.08.10. ,"<PRNewswire>인도 우정국, 금융 서비스 변혁을 위해 Infosys를 선정"
연합뉴스, 2012.08.06. ,가동 중단된 전광판
연합뉴스, 2012.08.10. ,"구글, 개인정보보호 위반으로 2천250만달러 벌금"
연합뉴스, 2012.08.13. ,중국 경기부양 기대에 환율 소폭 상승(종합)
연합뉴스, 2012.08.13. ,"환율 0.2원 내린 1,130.2원(개장)"
연합뉴스, 2012.09.03. ,"항공사, 항공권 총액운임표시제 시행"
연합뉴스, 2012.10.02. ,호주 금리 인하에 환율 소폭 상승(종합)
연합뉴스, 2012.08.21. ,코스피 상승에 달러화 약세(종합)
연합뉴스, 2012.08.21. ,"원·달러 환율 1.1원 내린 1,134.4원(개장)"
연합뉴스, 2012.08.22. ,"환율 0.1원 내린 1,131.0원(개장)"
연합뉴스, 2012.07.23. ,"코스피 1,780대로 급락(종합)"
연합뉴스, 2012.08.23. ,미국 경기부양 기대로 달러화 약세(종합)
연합뉴스, 2012.08.14. ,유럽발 악재에 원ㆍ달러 상승 출발(종합)
연합뉴스, 2012.11.01. ,"수출 넉달만에 증가..10월에 472억弗, 1.2％↑(종합)"
연합뉴스, 2012.11.01. ,<오늘의 투자전략> 제한적 상승 예상
연합뉴스, 2012.08.16. ,"신영證 ""한국카본 2분기 영업익 작년비 97%↑"""
연합뉴스, 2012.06.28. ,"무협 ""올해 무역흑자 작년보다 26% 감소"""
연합뉴스, 2012.08.17. ,"코스피, 삼성電이 끌어내리는 장세"
