DATE,KOSPI
2010-01-01,1682.77
2010-01-02,1682.77
2010-01-03,1682.77
2010-01-04,1696.14
2010-01-05,1690.62
2010-01-06,1705.32
2010-01-07,1683.45
2010-01-08,1695.26
2010-01-09,1695.26
2010-01-10,1695.26
2010-01-11,1694.12
2010-01-12,1698.64
2010-01-13,1671.41
2010-01-14,1685.77
2010-01-15,1701.8
2010-01-16,1701.8
2010-01-17,1701.8
2010-01-18,1711.78
2010-01-19,1710.22
2010-01-20,1714.38
2010-01-21,1722.01
2010-01-22,1684.35
2010-01-23,1684.35
2010-01-24,1684.35
2010-01-25,1670.2
2010-01-26,1637.34
2010-01-27,1625.48
2010-01-28,1642.43
2010-01-29,1602.43
2010-01-30,1602.43
2010-01-31,1602.43
2010-02-01,1606.44
2010-02-02,1595.81
2010-02-03,1615.02
2010-02-04,1616.42
2010-02-05,1567.12
2010-02-06,1567.12
2010-02-07,1567.12
2010-02-08,1552.79
2010-02-09,1570.49
2010-02-10,1570.12
2010-02-11,1597.81
2010-02-12,1593.66
2010-02-13,1593.66
2010-02-14,1593.66
2010-02-15,1593.66
2010-02-16,1601.05
2010-02-17,1627.43
2010-02-18,1621.19
2010-02-19,1593.9
2010-02-20,1593.9
2010-02-21,1593.9
2010-02-22,1627.1
2010-02-23,1628.9
2010-02-24,1612.83
2010-02-25,1587.51
2010-02-26,1594.58
2010-02-27,1594.58
2010-02-28,1594.58
2010-03-01,1594.58
2010-03-02,1615.12
2010-03-03,1622.44
2010-03-04,1618.2
2010-03-05,1634.57
2010-03-06,1634.57
2010-03-07,1634.57
2010-03-08,1660.04
2010-03-09,1660.83
2010-03-10,1662.24
2010-03-11,1656.62
2010-03-12,1662.74
2010-03-13,1662.74
2010-03-14,1662.74
2010-03-15,1649.5
2010-03-16,1648.01
2010-03-17,1682.86
2010-03-18,1675.17
2010-03-19,1686.11
2010-03-20,1686.11
2010-03-21,1686.11
2010-03-22,1672.67
2010-03-23,1681.82
2010-03-24,1681.01
2010-03-25,1688.39
2010-03-26,1697.72
2010-03-27,1697.72
2010-03-28,1697.72
2010-03-29,1691.99
2010-03-30,1700.19
2010-03-31,1692.85
2010-04-01,1719.17
2010-04-02,1723.49
2010-04-03,1723.49
2010-04-04,1723.49
2010-04-05,1724.99
2010-04-06,1726.09
2010-04-07,1726.6
2010-04-08,1733.78
2010-04-09,1724.47
2010-04-10,1724.47
2010-04-11,1724.47
2010-04-12,1710.3
2010-04-13,1710.59
2010-04-14,1735.33
2010-04-15,1743.91
2010-04-16,1734.49
2010-04-17,1734.49
2010-04-18,1734.49
2010-04-19,1705.3
2010-04-20,1718.03
2010-04-21,1747.58
2010-04-22,1739.52
2010-04-23,1737.03
2010-04-24,1737.03
2010-04-25,1737.03
2010-04-26,1752.2
2010-04-27,1749.55
2010-04-28,1733.91
2010-04-29,1728.42
2010-04-30,1741.56
2010-05-01,1741.56
2010-05-02,1741.56
2010-05-03,1721.21
2010-05-04,1718.75
2010-05-05,1718.75
2010-05-06,1684.71
2010-05-07,1647.5
2010-05-08,1647.5
2010-05-09,1647.5
2010-05-10,1677.63
2010-05-11,1670.24
2010-05-12,1663.03
2010-05-13,1694.58
2010-05-14,1695.63
2010-05-15,1695.63
2010-05-16,1695.63
2010-05-17,1651.51
2010-05-18,1643.24
2010-05-19,1630.08
2010-05-20,1600.18
2010-05-21,1600.18
