DATE,DGS3
2010-01-01,1.65
2010-01-04,1.7
2010-01-05,1.66
2010-01-06,1.57
2010-01-07,1.6
2010-01-08,1.62
2010-01-11,1.56
2010-01-12,1.55
2010-01-13,1.5
2010-01-14,1.54
2010-01-15,1.49
2010-01-19,1.44
2010-01-20,1.48
2010-01-21,1.46
2010-01-22,1.41
2010-01-25,1.39
2010-01-26,1.4
2010-01-27,1.4
2010-01-28,1.46
2010-01-29,1.44
2010-02-01,1.38
2010-02-02,1.41
2010-02-03,1.41
2010-02-04,1.44
2010-02-05,1.34
2010-02-08,1.28
2010-02-09,1.3
2010-02-10,1.37
2010-02-11,1.44
2010-02-12,1.43
2010-02-16,1.38
2010-02-17,1.36
2010-02-18,1.42
2010-02-19,1.47
2010-02-22,1.51
2010-02-23,1.48
2010-02-24,1.42
2010-02-25,1.42
2010-02-26,1.38
2010-03-01,1.36
2010-03-02,1.34
2010-03-03,1.33
2010-03-04,1.34
2010-03-05,1.38
2010-03-08,1.43
2010-03-09,1.43
2010-03-10,1.43
2010-03-11,1.45
2010-03-12,1.5
2010-03-15,1.5
2010-03-16,1.49
2010-03-17,1.47
2010-03-18,1.47
2010-03-19,1.52
2010-03-22,1.56
2010-03-23,1.54
2010-03-24,1.55
2010-03-25,1.67
2010-03-26,1.69
2010-03-29,1.64
2010-03-30,1.65
2010-03-31,1.65
2010-04-01,1.6
2010-04-02,1.63
2010-04-05,1.7
2010-04-06,1.77
2010-04-07,1.74
2010-04-08,1.66
2010-04-09,1.68
2010-04-12,1.68
2010-04-13,1.65
2010-04-14,1.65
2010-04-15,1.65
2010-04-16,1.62
2010-04-19,1.56
2010-04-20,1.59
2010-04-21,1.62
2010-04-22,1.6
2010-04-23,1.64
2010-04-26,1.68
2010-04-27,1.67
2010-04-28,1.55
2010-04-29,1.61
2010-04-30,1.58
2010-05-03,1.51
2010-05-04,1.56
2010-05-05,1.49
2010-05-06,1.43
2010-05-07,1.27
2010-05-10,1.32
2010-05-11,1.4
2010-05-12,1.37
2010-05-13,1.4
2010-05-14,1.37
2010-05-17,1.28
2010-05-18,1.3
2010-05-19,1.23
2010-05-20,1.26
2010-05-21,1.2
2010-05-24,1.19
2010-05-25,1.21
2010-05-26,1.21
2010-05-27,1.28
2010-05-28,1.35
2010-06-01,1.26
2010-06-02,1.26
2010-06-03,1.3
2010-06-04,1.31
2010-06-07,1.17
2010-06-08,1.17
2010-06-09,1.21
2010-06-10,1.19
2010-06-11,1.27
2010-06-14,1.21
2010-06-15,1.23
2010-06-16,1.26
2010-06-17,1.22
2010-06-18,1.18
2010-06-21,1.2
2010-06-22,1.21
2010-06-23,1.15
2010-06-24,1.11
2010-06-25,1.1
2010-06-28,1.07
2010-06-29,1.03
2010-06-30,0.99
2010-07-01,1
2010-07-02,1.01
2010-07-06,1.04
2010-07-07,1
2010-07-08,1.01
2010-07-09,1.01
2010-07-12,1.03
2010-07-13,1.06
2010-07-14,1.09
2010-07-15,1.02
2010-07-16,0.98
2010-07-19,0.94
2010-07-20,0.95
2010-07-21,0.94
2010-07-22,0.91
2010-07-23,0.92
2010-07-26,0.94
2010-07-27,0.97
2010-07-28,1.02
2010-07-29,0.95
2010-07-30,0.92
2010-08-02,0.84
2010-08-03,0.85
2010-08-04,0.8
2010-08-05,0.86
2010-08-06,0.81
2010-08-09,0.78
2010-08-10,0.81
2010-08-11,0.78
2010-08-12,0.78
2010-08-13,0.81
2010-08-16,0.81
2010-08-17,0.76
2010-08-18,0.78
2010-08-19,0.77
2010-08-20,0.74
2010-08-23,0.78
2010-08-24,0.76
2010-08-25,0.72
2010-08-26,0.77
2010-08-27,0.77
2010-08-30,0.83
2010-08-31,0.75
2010-09-01,0.72
2010-09-02,0.75
2010-09-03,0.76
2010-09-07,0.81
2010-09-08,0.77
2010-09-09,0.8
2010-09-10,0.87
2010-09-13,0.88
2010-09-14,0.82
2010-09-15,0.77
2010-09-16,0.77
2010-09-17,0.77
2010-09-20,0.75
2010-09-21,0.73
2010-09-22,0.68
2010-09-23,0.68
2010-09-24,0.67
2010-09-27,0.69
2010-09-28,0.66
2010-09-29,0.64
2010-09-30,0.67
2010-10-01,0.64
2010-10-04,0.63
2010-10-05,0.62
2010-10-06,0.6
2010-10-07,0.57
2010-10-08,0.54
2010-10-12,0.54
2010-10-13,0.59
2010-10-14,0.57
2010-10-15,0.6
2010-10-18,0.59
2010-10-19,0.55
2010-10-20,0.54
2010-10-21,0.52
2010-10-22,0.52
2010-10-25,0.54
2010-10-26,0.55
2010-10-27,0.59
2010-10-28,0.64
2010-10-29,0.56
2010-11-01,0.51
2010-11-02,0.5
2010-11-03,0.51
2010-11-04,0.49
2010-11-05,0.45
2010-11-08,0.51
2010-11-09,0.59
2010-11-10,0.66
2010-11-12,0.63
2010-11-15,0.73
2010-11-16,0.81
2010-11-17,0.79
2010-11-18,0.77
2010-11-19,0.77
2010-11-22,0.78
2010-11-23,0.72
2010-11-24,0.69
2010-11-26,0.81
2010-11-29,0.78
2010-11-30,0.77
2010-12-01,0.72
2010-12-02,0.84
2010-12-03,0.86
2010-12-06,0.8
2010-12-07,0.73
2010-12-08,0.87
2010-12-09,0.97
2010-12-10,0.99
2010-12-13,1.03
2010-12-14,0.98
2010-12-15,1.06
2010-12-16,1.08
2010-12-17,1.05
2010-12-20,0.99
2010-12-21,1.01
2010-12-22,1.02
2010-12-23,1.05
2010-12-27,1.1
2010-12-28,1.11
2010-12-29,1.17
2010-12-30,1.05
2010-12-31,1.07
2011-01-03,1.02
2011-01-04,1.03
2011-01-05,1.04
2011-01-06,1.16
2011-01-07,1.11
2011-01-10,1.02
2011-01-11,0.99
2011-01-12,1.03
2011-01-13,1.03
2011-01-14,1
2011-01-18,1
2011-01-19,1
2011-01-20,0.98
2011-01-21,1.07
2011-01-24,1.05
2011-01-25,1.05
2011-01-26,1
2011-01-27,1.05
2011-01-28,1
2011-01-31,0.96
2011-02-01,0.98
2011-02-02,1.04
2011-02-03,1.12
2011-02-04,1.19
2011-02-07,1.25
2011-02-08,1.28
2011-02-09,1.4
2011-02-10,1.34
2011-02-11,1.4
2011-02-14,1.4
2011-02-15,1.41
2011-02-16,1.39
2011-02-17,1.4
2011-02-18,1.33
2011-02-22,1.32
2011-02-23,1.22
2011-02-24,1.25
2011-02-25,1.24
2011-02-28,1.22
2011-03-01,1.18
2011-03-02,1.15
2011-03-03,1.18
2011-03-04,1.32
2011-03-07,1.2
2011-03-08,1.22
2011-03-09,1.27
2011-03-10,1.21
2011-03-11,1.13
2011-03-14,1.12
2011-03-15,1.07
2011-03-16,1.08
2011-03-17,0.98
2011-03-18,1.02
2011-03-21,1.05
2011-03-22,1.12
2011-03-23,1.14
2011-03-24,1.13
2011-03-25,1.19
2011-03-28,1.26
2011-03-29,1.29
2011-03-30,1.31
2011-03-31,1.28
2011-04-01,1.29
2011-04-04,1.31
2011-04-05,1.24
2011-04-06,1.33
2011-04-07,1.36
2011-04-08,1.31
2011-04-11,1.34
2011-04-12,1.35
2011-04-13,1.28
2011-04-14,1.26
2011-04-15,1.27
2011-04-18,1.2
2011-04-19,1.14
2011-04-20,1.13
2011-04-21,1.17
2011-04-25,1.16
2011-04-26,1.13
2011-04-27,1.09
2011-04-28,1.09
2011-04-29,1.03
2011-05-02,1.01
2011-05-03,1.01
2011-05-04,1.01
2011-05-05,1
2011-05-06,0.97
2011-05-09,0.96
2011-05-10,0.94
2011-05-11,1.03
2011-05-12,0.96
2011-05-13,0.98
2011-05-16,0.96
2011-05-17,0.93
2011-05-18,0.91
2011-05-19,0.97
2011-05-20,0.94
2011-05-23,0.92
2011-05-24,0.91
2011-05-25,0.91
2011-05-26,0.9
2011-05-27,0.83
2011-05-31,0.81
2011-06-01,0.79
2011-06-02,0.74
2011-06-03,0.78
2011-06-06,0.75
2011-06-07,0.74
