날짜,종가
2010-12-02,11255.78
2010-12-03,11362.41
2010-12-06,11382.09
2010-12-07,11362.19
2010-12-08,11359.16
2010-12-09,11372.48
2010-12-10,11370.06
2010-12-13,11410.32
2010-12-14,11428.56
2010-12-15,11476.54
2010-12-16,11457.47
2010-12-17,11499.25
2010-12-20,11491.91
2010-12-21,11478.13
2010-12-22,11533.16
2010-12-23,11559.49
2010-12-27,11573.49
2010-12-28,11555.03
2010-12-29,11575.54
2010-12-30,11585.38
2010-12-31,11569.71
2011-01-03,11577.51
2011-01-04,11670.75
2011-01-05,11691.18
2011-01-06,11722.89
2011-01-07,11697.31
2011-01-10,11674.76
2011-01-11,11637.45
2011-01-12,11671.88
2011-01-13,11755.44
2011-01-14,11731.9
2011-01-18,11787.38
2011-01-19,11837.93
2011-01-20,11825.29
2011-01-21,11822.8
2011-01-24,11871.84
2011-01-25,11980.52
2011-01-26,11977.19
2011-01-27,11985.44
2011-01-28,11989.83
2011-01-31,11823.7
2011-02-01,11891.93
2011-02-02,12040.16
2011-02-03,12041.97
2011-02-04,12062.26
2011-02-07,12092.15
2011-02-08,12161.63
2011-02-09,12233.15
2011-02-10,12239.89
2011-02-11,12229.29
2011-02-14,12273.26
2011-02-15,12268.19
2011-02-16,12226.64
2011-02-18,12288.17
2011-02-22,12391.25
2011-02-23,12212.79
2011-02-24,12105.78
2011-02-25,12068.5
2011-02-28,12130.45
2011-03-01,12226.34
2011-03-02,12058.02
2011-03-03,12066.8
2011-03-04,12258.2
2011-03-07,12169.88
2011-03-08,12090.03
2011-03-09,12214.38
2011-03-10,12213.09
2011-03-11,11984.61
2011-03-14,12044.4
2011-03-15,11993.16
2011-03-16,11855.42
2011-03-17,11613.3
2011-03-18,11774.59
2011-03-21,11858.52
2011-03-22,12036.53
2011-03-23,12018.63
2011-03-24,12086.02
2011-03-25,12170.56
2011-03-28,12220.59
2011-03-29,12197.88
2011-03-30,12279.01
2011-03-31,12350.61
2011-04-01,12319.73
2011-04-04,12376.72
2011-04-05,12400.03
2011-04-06,12393.9
2011-04-07,12426.75
2011-04-08,12409.49
2011-04-11,12380.05
2011-04-12,12381.11
2011-04-13,12263.58
2011-04-14,12270.99
2011-04-15,12285.15
2011-04-18,12341.83
2011-04-19,12201.59
2011-04-20,12266.75
2011-04-21,12453.54
2011-04-25,12505.99
2011-04-26,12479.88
2011-04-27,12595.37
2011-04-28,12690.96
2011-04-29,12763.31
2011-05-02,12810.54
2011-05-03,12807.36
2011-05-04,12807.51
2011-05-05,12723.58
2011-05-06,12584.17
2011-05-09,12638.74
2011-05-10,12684.68
2011-05-11,12760.36
2011-05-12,12630.03
2011-05-13,12695.92
2011-05-16,12595.75
2011-05-17,12548.37
2011-05-18,12479.58
2011-05-19,12560.18
2011-05-20,12605.32
2011-05-23,12512.04
2011-05-24,12381.26
2011-05-25,12356.21
2011-05-26,12394.66
2011-05-27,12402.76
2011-05-31,12441.58
2011-06-01,12569.79
2011-06-02,12290.14
2011-06-03,12248.55
2011-06-06,12151.26
2011-06-07,12089.96
2011-06-08,12070.81
2011-06-09,12048.94
2011-06-10,12124.36
2011-06-13,11951.91
2011-06-14,11952.97
2011-06-15,12076.11
2011-06-16,11897.27
2011-06-17,11961.52
2011-06-20,12004.36
2011-06-21,12080.38
2011-06-22,12190.01
2011-06-23,12109.67
2011-06-24,12050
2011-06-27,11934.58
2011-06-28,12043.56
2011-06-29,12188.69
2011-06-30,12261.42
2011-07-01,12414.34
2011-07-05,12582.77
2011-07-06,12569.87
2011-07-07,12626.02
2011-07-08,12719.49
2011-07-11,12657.2
2011-07-12,12505.76
2011-07-13,12446.88
2011-07-14,12491.61
2011-07-15,12437.12
2011-07-18,12479.73
2011-07-19,12385.16
2011-07-20,12587.42
2011-07-21,12571.91
2011-07-22,12724.41
2011-07-25,12681.16
2011-07-26,12592.8
2011-07-27,12501.3
2011-07-28,12302.55
2011-07-29,12240.11
2011-08-01,12143.24
2011-08-02,12132.49
2011-08-03,11866.62
2011-08-04,11896.44
2011-08-05,11383.68
2011-08-08,11444.61
2011-08-09,10809.85
2011-08-10,11239.77
2011-08-11,10719.94
2011-08-12,11143.31
2011-08-15,11269.02
2011-08-16,11482.9
2011-08-17,11405.93
2011-08-18,11410.21
2011-08-19,10990.58
2011-08-22,10817.65
2011-08-23,10854.65
2011-08-24,11176.76
2011-08-25,11320.71
2011-08-26,11149.82
2011-08-29,11284.54
2011-08-30,11539.25
2011-08-31,11559.95
2011-09-01,11613.53
2011-09-02,11493.57
2011-09-06,11240.26
2011-09-07,11139.3
2011-09-08,11414.86
2011-09-09,11295.81
2011-09-12,10992.13
2011-09-13,11061.12
2011-09-14,11105.85
2011-09-15,11246.73
2011-09-16,11433.18
2011-09-19,11509.09
2011-09-20,11401.01
2011-09-21,11408.66
2011-09-22,11124.84
2011-09-23,10733.83
2011-09-26,10771.48
2011-09-27,11043.86
2011-09-28,11190.69
2011-09-29,11010.9
2011-09-30,11153.98
2011-10-03,10913.38
2011-10-04,10655.3
2011-10-05,10808.71
2011-10-06,10939.95
2011-10-07,11123.33
2011-10-10,11103.12
2011-10-11,11433.18
2011-10-12,11416.3
2011-10-13,11518.85
2011-10-14,11478.13
2011-10-17,11644.49
2011-10-18,11397
2011-10-19,11577.05
2011-10-20,11504.62
2011-10-21,11541.78
2011-10-24,11808.79
2011-10-25,11913.62
2011-10-26,11706.62
2011-10-27,11869.04
2011-10-28,12208.55
2011-10-31,12231.11
2011-11-01,11955.01
2011-11-02,11657.96
2011-11-03,11836.04
2011-11-04,12044.47
2011-11-07,11983.24
2011-11-08,12068.39
2011-11-09,12170.18
2011-11-10,11780.94
2011-11-11,11893.79
2011-11-14,12153.68
2011-11-15,12078.98
2011-11-16,12096.16
2011-11-17,11905.59
2011-11-18,11770.73
2011-11-21,11796.16
2011-11-22,11547.31
2011-11-23,11493.72
2011-11-25,11257.55
2011-11-28,11231.78
2011-11-29,11523.01
2011-11-30,11555.63
2011-12-01,12045.68
2011-12-02,12020.03
2011-12-05,12019.42
2011-12-06,12097.83
2011-12-07,12150.13
2011-12-08,12196.37
2011-12-09,11997.7
2011-12-12,12184.26
2011-12-13,12021.39
2011-12-14,11954.94
2011-12-15,11823.48
2011-12-16,11868.81
2011-12-19,11866.39
2011-12-20,11766.26
2011-12-21,12103.58
2011-12-22,12107.74
2011-12-23,12169.65
2011-12-27,12294
2011-12-28,12291.35
2011-12-29,12151.41
2011-12-30,12287.04
2012-01-03,12217.56
2012-01-04,12397.38
2012-01-05,12418.42
2012-01-06,12415.7
2012-01-09,12359.92
2012-01-10,12392.69
2012-01-11,12462.47
2012-01-12,12449.45
2012-01-13,12471.02
2012-01-17,12422.06
2012-01-18,12482.07
2012-01-19,12578.95
2012-01-20,12623.98
2012-01-23,12720.48
2012-01-24,12708.82
2012-01-25,12675.75
2012-01-26,12756.96
2012-01-27,12734.63
2012-01-30,12660.46
2012-01-31,12653.72
2012-02-01,12632.91
2012-02-02,12716.46
2012-02-03,12705.41
2012-02-06,12862.23
2012-02-07,12845.13
2012-02-08,12878.2
2012-02-09,12883.95
2012-02-10,12890.46
2012-02-13,12801.23
2012-02-14,12874.04
2012-02-15,12878.28
2012-02-16,12780.95
2012-02-17,12904.08
2012-02-21,12949.87
2012-02-22,12965.69
2012-02-23,12938.67
2012-02-24,12984.69
2012-02-27,12982.95
2012-02-28,12981.51
2012-02-29,13005.12
2012-03-01,12952.07
2012-03-02,12980.3
2012-03-05,12977.57
2012-03-06,12962.81
