날짜,종가
2019-10-29,18.135
2019-10-28,18.18
2019-10-27,18.032
2019-10-25,18.226
2019-10-24,18.1
2019-10-23,17.87
2019-10-22,17.783
2019-10-21,17.883
2019-10-20,17.593
2019-10-18,17.856
2019-10-17,17.89
2019-10-16,17.701
2019-10-15,17.656
2019-10-14,17.983
2019-10-13,17.512
2019-10-11,17.819
2019-10-10,17.874
2019-10-09,18.081
2019-10-08,17.971
2019-10-07,17.811
2019-10-06,17.615
2019-10-04,17.894
2019-10-03,17.944
2019-10-02,17.954
2019-10-01,17.574
2019-09-30,17.274
2019-09-29,17.578
2019-09-27,17.932
2019-09-26,18.193
2019-09-25,18.356
2019-09-24,18.912
2019-09-23,18.996
2019-09-22,18.047
2019-09-20,18.132
2019-09-19,18.167
2019-09-18,18.202
2019-09-17,18.427
2019-09-16,18.317
2019-09-15,17.823
2019-09-13,17.869
2019-09-12,18.467
2019-09-11,18.449
2019-09-10,18.457
2019-09-09,18.433
2019-09-08,18.267
2019-09-06,18.38
2019-09-05,19.07
2019-09-04,19.805
2019-09-03,19.489
2019-09-02,18.492
2019-09-01,18.567
2019-08-30,18.586
2019-08-29,18.56
2019-08-28,18.68
2019-08-27,18.519
2019-08-26,18.006
2019-08-25,17.812
2019-08-23,17.769
2019-08-22,17.397
2019-08-21,17.511
2019-08-20,17.507
2019-08-19,17.298
2019-08-18,17.067
2019-08-16,17.485
2019-08-15,17.575
2019-08-14,17.646
2019-08-13,17.354
2019-08-12,17.431
2019-08-11,16.997
2019-08-09,17.294
2019-08-08,17.297
2019-08-07,17.556
2019-08-06,16.805
2019-08-05,16.751
2019-08-04,16.203
2019-08-02,16.636
2019-08-01,16.551
2019-07-31,16.773
2019-07-30,16.931
2019-07-29,16.812
2019-07-28,16.402
2019-07-26,16.766
2019-07-25,16.774
2019-07-24,16.986
2019-07-23,16.832
2019-07-22,16.765
2019-07-21,16.233
2019-07-19,16.547
2019-07-18,16.551
2019-07-17,16.325
2019-07-16,16.036
2019-07-15,15.723
2019-07-14,15.252
2019-07-12,15.6
2019-07-11,15.511
2019-07-10,15.591
2019-07-09,15.516
2019-07-08,15.418
2019-07-07,14.998
2019-07-05,15.368
2019-07-04,15.35
2019-07-03,15.684
2019-07-02,15.585
2019-07-01,15.532
2019-06-30,15.232
2019-06-28,15.663
2019-06-27,15.615
2019-06-26,15.695
2019-06-25,15.707
2019-06-24,15.77
2019-06-23,15.402
2019-06-21,15.687
2019-06-20,15.881
2019-06-19,15.357
2019-06-18,15.392
2019-06-17,15.232
2019-06-16,14.807
2019-06-14,15.207
2019-06-13,15.29
2019-06-12,15.161
2019-06-11,15.16
2019-06-10,15.062
2019-06-09,14.973
2019-06-07,15.452
2019-06-06,15.321
2019-06-05,15.214
2019-06-04,15.202
2019-06-03,15.176
2019-06-02,14.602
2019-05-31,15.007
2019-05-30,14.934
2019-05-29,14.849
2019-05-28,14.769
2019-05-27,14.572
2019-05-26,14.557
2019-05-24,15.005
2019-05-23,15.061
2019-05-22,14.899
2019-05-21,14.862
2019-05-20,14.896
2019-05-19,14.428
2019-05-17,14.837
2019-05-16,14.99
2019-05-15,15.262
2019-05-14,15.269
2019-05-13,15.24
2019-05-12,14.758
2019-05-10,15.259
2019-05-09,15.243
2019-05-08,15.333
2019-05-07,15.409
2019-05-06,15.423
2019-05-05,14.945
2019-05-03,15.48
2019-05-02,15.117
2019-05-01,15.228
2019-04-30,15.477
2019-04-29,15.421
2019-04-28,15.012
2019-04-26,15.587
2019-04-25,15.456
2019-04-24,15.499
2019-04-23,15.379
2019-04-22,15.568
2019-04-21,14.982
2019-04-19,14.965
2019-04-18,15.554
2019-04-17,15.535
2019-04-16,15.524
2019-04-15,15.589
2019-04-14,14.918
2019-04-12,15.577
2019-04-11,15.475
2019-04-10,15.862
2019-04-09,15.827
2019-04-08,15.834
2019-04-07,15.088
2019-04-05,15.699
2019-04-04,15.692
2019-04-03,15.711
2019-04-02,15.672
2019-04-01,15.696
2019-03-31,15.113
2019-03-29,15.705
2019-03-28,15.562
2019-03-27,15.891
2019-03-26,16.035
2019-03-25,16.17
2019-03-24,15.408
2019-03-22,16.012
2019-03-21,16.055
2019-03-20,15.938
2019-03-19,15.994
2019-03-18,15.945
2019-03-17,15.268
2019-03-15,15.948
2019-03-14,15.794
2019-03-13,16.084
2019-03-12,16.04
2019-03-11,15.901
2019-03-10,15.338
2019-03-08,15.975
2019-03-07,15.663
2019-03-06,15.706
2019-03-05,15.732
2019-03-04,15.733
2019-03-03,15.16
2019-03-01,15.884
2019-02-28,16.258
2019-02-27,16.391
2019-02-26,16.545
2019-02-25,16.542
2019-02-24,15.883
2019-02-22,16.617
2019-02-21,16.512
2019-02-20,16.889
2019-02-19,16.676
2019-02-18,15.787
2019-02-17,15.748
2019-02-15,16.451
2019-02-14,16.232
2019-02-13,16.353
2019-02-12,16.404
2019-02-11,16.409
2019-02-10,15.818
2019-02-08,16.529
2019-02-07,16.43
2019-02-06,16.415
2019-02-05,16.55
2019-02-04,16.6
2019-02-03,15.912
2019-02-01,16.64
2019-01-31,16.779
2019-01-30,16.634
2019-01-29,16.546
2019-01-28,16.464
2019-01-27,15.732
2019-01-25,16.396
2019-01-24,15.991
2019-01-23,16.072
2019-01-22,16.012
2019-01-21,15.283
2019-01-20,15.363
2019-01-18,16.091
2019-01-17,16.231
2019-01-16,16.331
2019-01-15,16.312
2019-01-14,16.38
2019-01-13,15.637
2019-01-11,16.346
2019-01-10,16.334
2019-01-09,16.422
2019-01-08,16.399
2019-01-07,16.433
2019-01-06,15.755
2019-01-04,16.464
2019-01-03,16.476
2019-01-02,16.324
2019-01-01,15.523
2018-12-31,16.212
2018-12-30,15.438
2018-12-28,16.109
2018-12-27,15.986
2018-12-26,15.803
2018-12-25,14.812
2018-12-24,15.493
2018-12-23,14.723
2018-12-21,15.379
2018-12-20,15.548
2018-12-19,15.497
2018-12-18,15.38
2018-12-17,15.437
2018-12-16,14.637
2018-12-14,15.314
2018-12-13,15.535
2018-12-12,15.534
2018-12-11,15.315
2018-12-10,15.292
2018-12-09,14.697
2018-12-07,15.388
2018-12-06,15.207
2018-12-05,15.285
2018-12-04,15.342
2018-12-03,15.206
2018-12-02,14.31
2018-11-30,14.919
2018-11-29,15.107
2018-11-28,15.162
2018-11-27,14.928
2018-11-26,15.057
2018-11-25,14.4
2018-11-23,15.08
2018-11-22,14.47
2018-11-21,15.336
2018-11-20,15.094
2018-11-19,15.236
2018-11-18,14.39
2018-11-16,15.219
2018-11-15,15.099
2018-11-14,14.909
2018-11-13,14.806
2018-11-12,14.84
2018-11-11,14.16
2018-11-09,14.965
2018-11-08,15.245
2018-11-07,15.388
2018-11-06,15.31
2018-11-05,15.452
2018-11-04,14.765
2018-11-02,15.558
2018-11-01,15.576
2018-10-31,15.072
2018-10-30,15.25
2018-10-29,15.233
2018-10-28,14.71
2018-10-26,15.488
2018-10-25,15.419
2018-10-24,15.464
2018-10-23,15.586
2018-10-22,15.373
2018-10-21,14.665
2018-10-19,15.436
2018-10-18,15.385
2018-10-17,15.447
2018-10-16,15.481
2018-10-15,15.509
2018-10-14,14.66
2018-10-12,15.414
2018-10-11,15.395
2018-10-10,15.099
2018-10-09,15.165
2018-10-08,15.088
2018-10-07,14.68
2018-10-05,15.415
2018-10-04,15.342
2018-10-03,15.416
2018-10-02,15.436
2018-10-01,15.248
2018-09-30,14.685
2018-09-28,15.448
2018-09-27,15.02
2018-09-26,15.132
2018-09-25,15.224
2018-09-24,15.065
2018-09-23,14.3
2018-09-21,15.084
2018-09-20,15.03
2018-09-19,15.005
2018-09-18,14.918
2018-09-17,14.959
2018-09-16,14.08
2018-09-14,14.876
2018-09-13,14.983
2018-09-12,15.024
2018-09-11,14.88
2018-09-10,14.903
2018-09-09,14.195
2018-09-07,14.883
2018-09-06,14.887
2018-09-05,14.932
2018-09-04,14.9
2018-09-03,14.52
2018-09-02,14.56
2018-08-31,15.291
2018-08-30,15.329
2018-08-29,15.545
2018-08-28,15.626
2018-08-27,15.688
2018-08-26,14.83
2018-08-24,15.626
2018-08-23,15.363
2018-08-22,15.573
2018-08-21,15.581
2018-08-20,15.483
2018-08-19,14.765
2018-08-17,15.45
2018-08-16,15.533
2018-08-15,15.276
2018-08-14,15.924
2018-08-13,15.863
2018-08-12,15.325
2018-08-10,16.179
2018-08-09,16.347
2018-08-08,16.311
2018-08-07,16.249
2018-08-06,16.22
2018-08-05,15.455
2018-08-03,16.34
2018-08-02,16.26
2018-08-01,16.347
2018-07-31,16.45
2018-07-30,16.424
2018-07-29,15.51
2018-07-27,16.379
2018-07-26,16.38
2018-07-25,16.479
2018-07-24,16.414
2018-07-23,16.322
2018-07-22,15.545
2018-07-20,16.452
2018-07-19,16.308
2018-07-18,16.488
2018-07-17,16.537
2018-07-16,16.741
2018-07-15,15.835
2018-07-13,16.746
2018-07-12,16.91
2018-07-11,16.744
2018-07-10,17.023
2018-07-09,17.072
2018-07-08,16.1
2018-07-06,16.996
2018-07-05,17.019
2018-07-04,16.13
2018-07-03,16.964
2018-07-02,16.756
2018-07-01,16.16
2018-06-29,17.13
2018-06-28,16.971
